,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
0,10,0,0,0,1,0,0,0,0,0
1,9,1,0,0,0,0,0,0,0,0
2,9,2,0,0,2,0,0,0,0,0
3,3,7,0,0,0,0,0,0,0,0
4,8,3,0,0,0,0,1,0,0,0
5,13,2,1,0,0,0,1,0,0,0
6,8,0,0,0,1,0,0,0,0,0
7,6,1,1,0,0,0,0,0,0,0
8,9,0,0,0,0,1,0,0,0,0
9,6,1,2,0,1,0,1,0,0,0
10,3,2,0,0,0,0,0,0,0,0
11,6,2,0,0,1,0,0,0,0,0
12,7,1,1,0,1,0,0,0,0,0
13,4,1,1,0,1,0,0,2,0,0
14,9,0,2,0,0,0,0,0,0,0
15,7,0,0,0,0,0,0,0,0,0
16,7,0,0,1,0,1,0,0,0,0
17,6,0,0,0,0,1,0,0,0,0
18,6,0,0,0,0,0,0,0,1,0
19,1,2,1,0,0,0,0,0,0,0
20,12,0,0,0,0,0,0,0,0,0
21,13,0,0,0,1,0,0,0,0,0
22,7,0,0,0,0,0,0,0,0,0
23,9,0,0,0,1,1,0,0,0,0
24,12,0,0,0,0,1,0,0,1,0
25,12,1,0,1,0,0,0,0,0,0
26,12,0,2,0,0,0,0,0,0,0
27,10,0,1,3,2,0,0,0,0,0
28,5,1,2,1,0,0,0,0,0,0
29,0,0,1,0,0,0,0,0,0,0
30,2,0,0,0,0,0,0,0,0,0
31,3,0,0,0,0,0,0,0,0,0
32,5,0,0,0,0,0,0,0,0,0
33,4,0,0,0,0,0,0,0,0,0
34,4,0,0,0,0,0,0,0,0,0
35,7,0,0,0,0,1,0,0,0,0
36,3,0,0,0,0,0,0,1,0,0
37,6,0,0,0,0,2,0,0,0,0
38,4,0,0,1,0,0,0,0,0,0
39,2,0,0,1,0,1,0,0,0,0
40,12,1,0,0,0,0,0,0,0,0
41,8,0,0,0,2,2,0,0,0,0
42,7,0,0,0,0,1,0,0,0,0
43,8,0,0,0,0,1,0,0,0,0
44,6,1,0,0,1,1,0,0,0,0
45,10,0,0,0,3,2,0,0,0,0
46,6,1,0,2,0,0,0,0,0,0
47,9,2,1,0,0,0,0,0,0,0
48,5,1,1,0,1,0,0,0,0,0
49,2,0,0,0,0,0,0,0,0,0
50,3,1,1,2,0,0,0,0,0,0
51,6,1,0,0,1,1,0,0,0,0
52,3,1,1,0,0,2,0,0,0,0
53,4,1,0,0,0,3,0,0,1,0
54,9,0,0,0,0,1,0,0,0,0
55,3,1,0,1,0,1,0,0,1,0
56,10,0,1,0,1,2,0,0,0,0
57,8,0,0,3,0,1,0,0,0,0
58,5,0,1,0,2,1,0,0,0,0
59,4,0,0,0,0,0,0,0,0,0
60,3,1,0,1,0,0,0,0,0,0
61,4,0,0,0,1,0,0,0,0,0
62,6,0,0,1,1,0,0,0,0,0
63,3,1,0,1,1,0,0,0,0,0
64,5,0,0,0,1,1,0,0,0,0
65,5,1,1,0,2,0,0,0,0,0
66,7,2,3,0,1,0,0,0,0,0
67,3,5,1,0,0,0,0,0,0,0
68,3,4,1,0,1,0,0,0,0,0
69,1,0,0,0,0,0,0,0,0,0
70,5,0,0,0,0,0,0,0,0,0
71,7,1,0,0,0,0,0,0,0,0
72,8,0,0,0,0,0,0,0,1,0
73,9,0,1,0,1,0,0,0,0,0
74,2,1,0,0,0,0,0,0,0,0
75,5,0,0,0,0,0,0,0,0,0
76,4,0,1,0,1,0,2,0,0,0
77,6,0,0,0,0,0,1,0,0,0
78,8,0,0,0,0,0,0,0,0,0
79,5,0,1,0,0,0,0,0,0,0
80,9,0,1,0,1,0,0,0,0,0
81,9,0,1,0,1,0,1,0,0,0
82,6,4,1,0,1,1,2,0,0,0
83,8,0,0,0,1,0,1,0,0,0
84,12,0,2,0,1,0,1,1,0,0
85,8,0,3,0,1,0,0,0,0,0
86,10,0,6,0,1,0,0,0,0,0
87,8,0,1,2,0,0,0,0,0,0
88,8,0,0,1,1,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0
90,6,0,0,0,0,0,0,0,0,0
91,5,0,0,0,0,0,0,1,0,0
92,6,0,1,0,1,0,0,0,0,0
93,3,0,0,0,0,0,0,0,0,0
94,7,0,0,0,0,0,0,0,0,0
95,3,0,1,0,0,1,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0
97,3,0,0,0,0,0,0,0,0,0
98,4,0,0,0,0,0,0,0,0,0
99,2,0,1,1,0,0,0,2,0,0
100,9,1,1,0,2,0,0,0,0,0
101,9,1,0,0,2,0,0,0,0,4
102,11,2,0,0,2,0,1,0,0,3
103,11,2,1,0,0,0,0,0,0,2
104,16,0,0,0,1,0,2,0,0,0
105,8,2,1,1,0,0,2,0,0,0
106,17,1,0,0,1,0,1,0,0,0
107,10,1,2,0,2,2,2,0,0,1
108,6,4,0,0,1,1,1,0,0,1
109,1,0,0,0,0,0,0,0,0,0
110,2,2,1,0,0,0,0,0,0,0
111,4,1,0,0,0,0,0,0,0,0
112,6,0,0,0,0,0,0,0,0,0
113,5,2,0,0,0,0,0,0,0,0
114,5,1,0,0,0,0,0,0,0,0
115,4,0,0,0,0,0,0,0,0,0
116,5,0,0,0,0,0,0,0,0,0
117,4,0,0,0,0,0,0,0,0,0
118,1,0,2,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0
120,3,0,1,0,0,0,0,0,0,0
121,2,0,0,0,0,0,0,0,0,0
122,5,0,0,0,1,0,0,0,0,0
123,4,1,0,0,0,0,0,0,0,0
124,4,1,2,0,0,0,0,0,0,0
125,4,1,0,0,0,0,0,0,0,0
126,7,1,0,0,0,0,0,0,1,0
127,5,1,1,0,0,0,0,0,0,0
