Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula,Induction
81,17,4,0,5,1,3,0,0,0,0
58,10,8,1,4,2,0,2,1,0,1
99,2,8,5,4,2,0,1,1,0,1
40,0,0,3,0,5,0,1,0,0,7
82,7,4,2,7,7,0,1,0,0,4
55,5,4,6,4,12,0,0,2,0,4
44,14,6,3,8,1,0,0,0,0,1
63,2,3,0,3,0,3,0,1,0,1
89,4,16,3,8,2,5,1,0,0,1
39,0,3,1,1,1,0,3,0,0,7
101,14,7,1,11,3,9,0,0,11,0
39,6,3,1,0,0,0,0,0,0,0
39,5,8,0,1,0,0,0,1,0,0
24,8,2,0,0,0,0,0,0,0,0
44,4,0,6,3,3,0,0,0,0,5
29,9,7,0,0,0,0,0,0,0,2
92,3,8,9,6,2,0,0,0,0,8
60,8,4,0,3,0,0,1,0,0,0
66,1,1,3,8,0,2,1,0,0,0
61,6,5,3,4,0,5,0,0,0,1
179,20,8,7,11,9,0,0,0,0,5
80,10,4,1,1,0,1,0,0,0,0
25,14,0,0,1,0,3,1,0,0,0
79,8,4,7,3,5,0,0,3,0,2
96,13,11,1,0,2,11,0,0,0,1
48,1,4,7,2,0,0,0,0,0,0
142,11,13,9,8,1,4,1,3,0,6
99,8,9,7,6,10,0,4,2,0,1
30,3,2,4,0,2,0,0,0,0,2
85,10,4,0,10,0,4,0,0,0,0
83,3,5,1,0,1,3,2,0,0,11
25,8,2,6,6,0,0,0,0,0,1
98,13,13,1,0,2,11,0,0,0,1
71,23,6,7,1,3,0,1,1,0,0
278,25,16,8,14,15,0,9,7,0,10
19,1,1,4,0,0,0,0,0,0,6
26,3,0,1,1,0,0,0,0,0,4
54,2,2,0,5,0,1,1,0,0,0
45,15,6,4,1,0,0,0,0,0,2
72,2,2,0,3,0,8,0,0,0,0
120,6,13,0,4,1,0,0,1,0,0
82,10,6,0,8,0,3,0,0,0,0
61,13,4,5,8,2,0,3,0,0,1
52,0,1,2,0,4,0,0,0,0,4
44,2,2,6,3,1,0,2,0,0,1
31,7,4,2,0,0,2,0,0,0,1
47,2,4,3,2,0,0,0,0,0,2
31,10,2,1,3,1,0,1,0,0,2
35,3,5,1,1,0,0,0,0,1,4
