,Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula
0,2,1,1,0,0,0,0,0,0,0
1,2,0,1,1,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0
3,4,2,0,0,1,0,0,0,0,0
4,3,1,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0,0
6,3,0,2,0,0,0,0,0,0,0
7,5,0,0,0,0,0,0,0,0,0
8,2,1,0,0,0,0,0,0,0,0
9,2,0,1,0,0,0,0,0,0,0
10,2,1,1,0,0,0,0,0,0,0
11,2,0,1,1,0,0,0,0,0,0
12,3,0,0,0,0,0,0,0,0,0
13,4,1,0,0,1,0,0,0,0,0
14,3,2,0,0,0,0,0,0,0,0
15,3,0,0,0,0,0,0,0,0,0
16,3,0,2,0,0,0,0,0,0,0
17,5,0,0,0,0,0,0,0,0,0
18,2,1,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0
20,8,1,0,0,1,0,0,1,0,2
21,6,0,0,0,2,0,0,2,0,1
22,6,0,1,0,1,0,0,0,0,2
23,9,0,0,0,1,0,0,0,0,2
24,5,1,0,0,0,0,0,0,0,0
25,7,1,1,0,2,0,0,1,0,1
26,11,0,0,2,0,0,0,0,0,1
27,9,1,1,1,1,0,0,0,1,2
28,7,0,1,1,0,0,0,0,0,0
29,3,0,0,0,1,0,0,0,0,0
30,3,1,1,0,0,0,0,0,0,0
31,2,0,0,0,0,0,0,0,0,0
32,1,0,2,0,0,0,0,0,0,0
33,5,0,1,0,0,0,0,0,0,0
34,1,0,0,0,0,0,0,3,0,0
35,0,0,0,0,0,0,0,0,0,0
36,0,0,2,0,0,0,0,0,0,0
37,1,1,1,0,0,0,0,0,0,0
38,3,0,1,0,0,0,0,0,0,0
39,3,0,1,0,0,0,0,1,0,0
40,2,1,0,0,1,0,0,0,0,0
41,6,2,0,0,0,0,0,0,0,0
42,6,0,0,0,0,0,1,0,0,0
43,6,1,2,0,1,0,0,0,0,0
44,5,0,0,0,0,0,0,0,0,0
45,3,0,1,0,0,0,0,0,0,0
46,5,0,0,0,0,0,0,0,0,0
47,6,0,0,0,0,0,0,0,0,0
48,1,3,0,0,0,0,0,0,0,0
49,0,0,1,0,0,0,0,0,0,0
50,4,0,0,0,0,0,0,0,0,0
51,6,0,0,1,0,0,0,0,0,0
52,4,0,0,0,1,0,0,1,0,0
53,4,1,0,1,0,0,0,0,0,0
54,4,0,0,0,0,1,0,0,0,0
55,5,0,0,1,0,1,0,0,0,0
56,0,0,0,1,0,0,0,0,0,0
