,Lower Bound,Upper Bound,Difference in Sample Means: Post - Pre
Clout,0.8716155598454959,2.0781383691841726,1.4748769645148343
Tone,0.48323997807496655,4.714071448801089,2.5986557134380277
Sixltr,0.8443580516082332,1.407633884629148,1.1259959681186906
you,0.0001532431685220409,0.0366088508855537,0.01838104702703787
article,-0.026965832198350026,-0.011946939355607075,-0.01945638577697855
prep,0.009021402229414069,0.13926917206174128,0.07414528714557767
auxverb,0.0033472341692959706,0.1409089688473266,0.07212810150831128
conj,0.004397191125316682,0.07096453594048467,0.03768086353290068
negate,0.002874594744717268,0.07276370900827825,0.03781915187649776
number,-0.18880067821104685,-0.028942123765465344,-0.1088714009882561
quant,0.002775502113398984,0.13673616671466032,0.06975583441402966
affect,0.14151165787296552,0.489458106930697,0.31548488240183126
posemo,0.1105646102198357,0.35277073204246706,0.2316676711311514
anx,0.09470594446334069,0.1954050374479821,0.1450554909556614
anger,-0.1646314256159425,-0.09048108500553573,-0.1275562553107391
sad,-0.09945249718455557,-0.007477432122994954,-0.05346496465377526
social,0.1485577723577097,0.48625705314675727,0.3174074127522335
female,-0.11203465857927303,-0.013285595191504795,-0.06266012688538891
cogproc,0.1653768867567731,0.5666260268424832,0.36600145679962814
insight,0.11936160694830171,0.30773892152068355,0.21355026423449264
cause,0.04594359933868436,0.16249081557135175,0.10421720745501806
discrep,0.01853427966163851,0.1632862111203615,0.09091024539100001
certain,0.040118766485496546,0.16967694402718653,0.10489785525634154
differ,-0.12708589274702048,-0.013203975157746357,-0.07014493395238341
see,-0.23626535006232297,-0.12535731339592726,-0.1808113317291251
feel,0.1196636621177115,0.3066256275677256,0.21314464484271856
body,-0.31633131537188186,-0.12231840063046162,-0.21932485800117174
health,0.17542976248339054,0.39726740566054003,0.2863485840719653
sexual,-0.09084415973681231,-0.017208811415326646,-0.05402648557606948
ingest,-0.1897786082925026,-0.07993837731609776,-0.13485849280430018
affiliation,0.006080425431799319,0.14693990470110807,0.0765101650664537
power,0.06056655624216452,0.20199774864476744,0.13128215244346597
reward,-0.20555856248638654,-0.03222560027208106,-0.1188920813792338
focusfuture,0.04409523671053487,0.14534419383637184,0.09471971527345335
home,-0.17444893297723263,-0.05643478868109241,-0.11544186082916252
money,-0.09147743617282209,-0.0406753448322327,-0.0660763905025274
informal,-0.226128885491503,-0.09479780148295748,-0.16046334348723024
swear,-0.1503271913954684,-0.083895213674077,-0.1171112025347727
assent,-0.07745726907411685,-0.03211884039033561,-0.05478805473222623
