,Statistics,P-Values
Author,-0.6620055520504242,0.5079959386757853
We,1.2565775619995618,0.20896104816380798
Baby,-3.425161256711726,0.0006190155003898639
Doctor,0.3454227998500768,0.7297900060479918
Partner,-2.2030309927773257,0.027634686296027278
Nurse,1.0337774325900957,0.3012865610191682
Midwife,-0.5777823852405852,0.563435162101877
Family,5.474309511207383,4.590681005806292e-08
Anesthesiologist,-0.2437207015975654,0.8074564060427786
Doula,1.8674557340711453,0.061892157002795704
Induction,-4.427266364747428,9.731803853643867e-06
